PARENT_SITE_ORG,CHILD_SITE_ORG,SCTR_MBR_NM,CURC,YEAR_MON,SCENARIO,AMT
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEJP],TeLogic,NTD K,2014_Apr,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,NTD K,2014_Jul,ForecastV2,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[MSJAPAN],OtOther,USD K,2014_May,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEMTL_SH],BGA,USD K,2014_Feb,ForecastV2,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,USD K,2014_Jun,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,NTD K,2014_Jun,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],AsLogic,USD K,2014_Dec,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[T_Group Total-Elim],TeLogic,USD K,2014_Jun,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[RealEstate Total-Consol],ReEstate,NTD K,2014_Mar,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[U_Group TotalIT],EMSEMS,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[ASEInc_ATM_Group Total-Elim],AsLogic,USD K,2014_Oct,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[T_Group TotalIT],AsLogic,USD K,2014_Mar,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[M_Group Total-Elim],BGA,USD K,2014_Feb,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,USD K,2014_Sep,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],TeLogic,USD K,2014_Nov,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],AsLogic,NTD K,2014_Dec,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETKH],TeLogic,USD K,2014_Oct,ForecastV2,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[AUElim],AsLogic,USD K,2014_Jan,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEE].[ASEEKH],BGA,NTD K,2014_Jun,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],AsLogic,NTD K,2014_Nov,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,USD K,2014_Dec,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Dec,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[M_Group Total-Elim],BGA,USD K,2014_Jan,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,USD K,2014_Apr,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETCL],TeLogic,USD K,2014_Aug,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],AsLogic,NTD K,2014_Apr,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[ASEInc_ATM_Group Total-Elim],AsLogic,USD K,2014_Apr,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],AsLogic,NTD K,2014_Sep,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEE].[ASEEKH],BGA,NTD K,2014_Aug,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Jul,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEMTL_SH],BGA,NTD K,2014_Jun,Actual,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,NTD K,2014_Oct,Actual,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,NTD K,2014_Dec,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEE].[ASEEKH],BGA,USD K,2014_Aug,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,USD K,2014_Jun,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Holdings-Elim],OtOther,NTD K,2014_Dec,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_LF],LeadFrame,NTD K,2014_Dec,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[T_Group TotalIT],AsLogic,USD K,2014_Feb,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEMTL_SH],BGA,USD K,2014_Nov,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[KGroupElim-Consol],TeLogic,USD K,2014_Feb,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],LeadFrame,NTD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],AsLogic,USD K,2014_Jun,ForecastV2,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[AUElim],AsLogic,USD K,2014_Aug,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[T_Group Elim].[T_Group-Elim],AsLogic,NTD K,2014_Oct,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,NTD K,2014_Oct,Actual,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[ASEUS],OtOther,USD K,2014_Oct,ForecastV2,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[ASEInc_ATM_Group Total-Elim],BGA,USD K,2014_Sep,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],AsLogic,NTD K,2014_Feb,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,USD K,2014_Apr,Actual,1
[Site Group].[RealEstate],[Site Org].[ASEInc_Group].[RealEstate].[R_Group].[DHREAL],ReEstate,USD K,2014_Jul,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,NTD K,2014_Jan,Actual,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEHK],BGA,NTD K,2014_Sep,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],OtOther,NTD K,2014_Jan,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,NTD K,2014_Feb,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[ASEInc_ATM_Group Total-Elim],AsLogic,USD K,2014_Sep,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],AsLogic,USD K,2014_Sep,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],AsLogic,USD K,2014_Mar,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETCL],TeLogic,NTD K,2014_May,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,NTD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETCL],TeLogic,USD K,2014_Jan,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[KGroupElim-Consol],TeLogic,NTD K,2014_Mar,Actual,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[MSJAPAN],OtOther,USD K,2014_Aug,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],TeLogic,USD K,2014_Oct,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],AsLogic,USD K,2014_Nov,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,NTD K,2014_Nov,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],AsLogic,USD K,2014_Jun,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],TeLogic,USD K,2014_Nov,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[KGroupElim],TeLogic,USD K,2014_Aug,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETCL],TeLogic,USD K,2014_Jun,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[T_Group TotalIT],AsLogic,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherR_Group].[ADVANCEDSHr],TeLogic,USD K,2014_May,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],AsLogic,NTD K,2014_Jul,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,USD K,2014_Nov,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,USD K,2014_Dec,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,NTD K,2014_Apr,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,USD K,2014_Aug,ForecastV2,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,NTD K,2014_May,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],AsLogic,NTD K,2014_Sep,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherR_Group].[ADVANCEDSHr],AsLogic,NTD K,2014_Sep,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Sep,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],AsLogic,USD K,2014_Mar,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],AsLogic,USD K,2014_Jun,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEJP],TeLogic,USD K,2014_May,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[KGroupElim],BGA,NTD K,2014_Feb,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],AsLogic,NTD K,2014_Jun,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],BGA,USD K,2014_Mar,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Aug,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[GlobalElim Total-Consol],AsLogic,USD K,2014_Apr,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,NTD K,2014_Aug,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Oct,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEE].[ASEEKH],BGA,USD K,2014_Feb,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,NTD K,2014_Oct,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[T_Group Total-Elim],TeLogic,NTD K,2014_Oct,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,NTD K,2014_Jun,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[AUElim],AsLogic,NTD K,2014_May,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ISELAB].[ISEUS],TeLogic,NTD K,2014_Oct,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],TeLogic,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETKH],TeLogic,NTD K,2014_Nov,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],TeLogic,USD K,2014_Jan,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[KGroupElim-Consol],OtOther,USD K,2014_Jan,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],OtOther,USD K,2014_Feb,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[T_Group Total-Elim],TeLogic,NTD K,2014_Apr,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[ASE_T].[ASEInc_Group Total-Consol],OtOther,NTD K,2014_Mar,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],TeLogic,USD K,2014_May,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEJP],AsLogic,NTD K,2014_May,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_LF],LeadFrame,NTD K,2014_Oct,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,USD K,2014_Sep,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECLELIM],AsLogic,NTD K,2014_Apr,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,NTD K,2014_Dec,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[ASEHK],BGA,NTD K,2014_Dec,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,NTD K,2014_Feb,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],AsLogic,NTD K,2014_Dec,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,NTD K,2014_Nov,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[NewK TotalIT],TeLogic,USD K,2014_Jan,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[KGroupElim],OtOther,NTD K,2014_Dec,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],AsLogic,USD K,2014_Apr,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],TeLogic,NTD K,2014_May,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKH],AsLogic,NTD K,2014_Mar,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,USD K,2014_Oct,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],AsLogic,USD K,2014_Mar,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],TeLogic,USD K,2014_Jul,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[NewK TotalIT],AsLogic,NTD K,2014_Jan,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],TeLogic,USD K,2014_Dec,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASET].[ASETKH],TeLogic,USD K,2014_Dec,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,NTD K,2014_Mar,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],AsLogic,NTD K,2014_Feb,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],AsLogic,USD K,2014_May,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],AsLogic,USD K,2014_Apr,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_LF],LeadFrame,USD K,2014_Aug,ForecastV2,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[ASEUS],OtOther,NTD K,2014_Aug,ForecastV2,1
[Site Group].[Holdings],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Holdings].[MSJAPAN],OtOther,NTD K,2014_Apr,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECLELIM],AsLogic,NTD K,2014_Dec,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,NTD K,2014_Feb,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[T_Group Elim].[T_Group-Elim],AsLogic,NTD K,2014_Sep,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKH],AsLogic,NTD K,2014_Jun,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,USD K,2014_Oct,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[NewK_Group Total-Consol],AsLogic,NTD K,2014_Feb,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],AsLogic,USD K,2014_Jun,Actual,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASESG],TeLogic,NTD K,2014_Oct,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],AsLogic,USD K,2014_Aug,ForecastV2,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASENT],AsLogic,NTD K,2014_May,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],AsLogic,USD K,2014_Oct,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],TeLogic,NTD K,2014_Jul,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Apr,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],TeLogic,NTD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASESH].[ASESH_AT],TeLogic,USD K,2014_Dec,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],TeLogic,USD K,2014_Aug,ForecastV2,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[Oth_Manufactors-Consol],LeadFrame,NTD K,2014_Mar,ForecastV2,1
[Site Group].[T_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[T_Group].[ASEMALAY],TeLogic,USD K,2014_Feb,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEN],TeLogic,USD K,2014_Sep,ForecastV2,1
[Site Group].[M_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[M_Group].[M_Group Elim].[M_Group-Elim],BGA,USD K,2014_Jun,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[KGroupElim],TeLogic,USD K,2014_Oct,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],TeLogic,USD K,2014_Sep,Actual,1
[Site Group].[EMS_Group],[Site Org].[ASEInc_Group].[EMS_Group].[U_Group].[USI],EMSEMS,USD K,2014_May,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[WUXI],AsLogic,USD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],TeLogic,USD K,2014_Nov,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKS].[ASEKS_AT],TeLogic,NTD K,2014_Dec,ForecastV2,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[Oth_Manufactors-Elim],LeadFrame,USD K,2014_Apr,Actual,1
[Site Group].[Global Elim],[Site Org].[ASEInc_Group].[Global Elim].[ASEInc_ATM_Group Total-Elim],AsLogic,NTD K,2014_Nov,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASEKHELIM],AsLogic,NTD K,2014_Jul,Actual,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEWH],AsLogic,USD K,2014_Sep,Actual,1
[Site Group].[Group Elim],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Group Elim].[M_Group Total-Elim],BGA,USD K,2014_Jul,Actual,1
[Site Group].[NewK_Group],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[NewK_Group].[ASECL],TeLogic,NTD K,2014_Jun,Actual,1
[Site Group].[Group],[Site Org].[OtherH_Group].[IC_ATM_T].[NewK_Group Total-Consol],TeLogic,NTD K,2014_Jan,ForecastV2,1
[Site Group].[Oth_Manufactors],[Site Org].[ASEInc_Group].[ASEInc_ATM_Group].[Oth_Manufactors].[ASEKR],AsLogic,NTD K,2014_Jul,ForecastV2,1
